kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,86.44484757419434,0.012129999987564588,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PDX,155.34459265775118,0.006749999997168743,128,4096,1,10
JACCARD_B128_VPSHUFB_PDX,133.4066158331102,0.00785999999664,128,4096,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,151.30966815658599,0.006929999997851155,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,162.31826639230994,0.0064599999944903175,128,4096,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,145.2120204120187,0.007221000004165035,128,4096,1,10
JACCARD_U64X2_C,196.24861967113355,0.05343100001198309,128,4096,10,10
JACCARD_B128_VPSHUFB_SAD,69.9605687184628,0.1498809999986861,128,4096,10,10
JACCARD_B128_VPOPCNTQ,106.68077443458328,0.0982910000004722,128,4096,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,82.88417607638908,0.1265110000048253,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,143.46171213153437,0.07309099999019963,128,4096,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,102.99341911012526,0.10181000000386575,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PDX,230.15276556477653,0.0455600000037748,128,4096,10,10
JACCARD_B128_VPSHUFB_PDX,192.53704484069445,0.054461000004835114,128,4096,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,209.96716060660503,0.049939999996695406,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,247.1890617646861,0.04241999999976542,128,4096,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,215.5789473559235,0.04864000000281976,128,4096,10,10
JACCARD_U64X2_C,195.89116078424047,0.5352849999979981,128,4096,100,10
JACCARD_B128_VPSHUFB_SAD,68.64996228933718,1.5274240000024975,128,4096,100,10
JACCARD_B128_VPOPCNTQ,104.13810979967153,1.0069089999973357,128,4096,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,81.00790165772085,1.2944119999929171,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,149.49203479938618,0.7014259999920114,128,4096,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,102.011578957895,1.0278990000074373,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PDX,222.55955716863826,0.471143999988044,128,4096,100,10
JACCARD_B128_VPSHUFB_PDX,180.96212755320727,0.5794449999996232,128,4096,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,197.44777005073837,0.5310649999898942,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,239.88067459054577,0.4371240000011767,128,4096,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,202.26185079978393,0.5184249999956592,128,4096,100,10
JACCARD_U64X2_C,172.6450030585306,6.073596000021553,128,4096,1000,10
JACCARD_B128_VPSHUFB_SAD,66.17229625770489,15.846148000008498,128,4096,1000,10
JACCARD_B128_VPOPCNTQ,97.11499981343849,10.797260999993341,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,76.91208020409086,13.63343699998154,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,148.5816826869237,7.0572360000085155,128,4096,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,95.80453162319785,10.944952000016883,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PDX,196.80369667531474,5.32803000001536,128,4096,1000,10
JACCARD_B128_VPSHUFB_PDX,164.95398062407568,6.356779000014967,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,179.56559748568358,5.8395149999910245,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,209.08180757236553,5.015146999994613,128,4096,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,182.21862773681704,5.754494000001387,128,4096,1000,10
JACCARD_U64X2_C,157.7992475749951,0.01328999999827829,128,8192,1,10
JACCARD_B128_VPSHUFB_SAD,64.17233781365306,0.03268000000389293,128,8192,1,10
JACCARD_B128_VPOPCNTQ,96.46513342130032,0.021739999993997117,128,8192,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,77.15507153688968,0.027181000007203693,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,121.99837118777364,0.01718999999411608,128,8192,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,91.41900607091455,0.022940000008020434,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PDX,187.91684612286375,0.01115999998546613,128,8192,1,10
JACCARD_B128_VPSHUFB_PDX,156.38717365522066,0.013410000008207135,128,8192,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,177.2740489473495,0.011830000005375041,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,200.68440209306445,0.010449999990669312,128,8192,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,172.88969514838868,0.012129999987564588,128,8192,1,10
JACCARD_U64X2_C,196.78449113657308,0.10657099997501973,128,8192,10,10
JACCARD_B128_VPSHUFB_SAD,69.23738746092477,0.3028929999970842,128,8192,10,10
JACCARD_B128_VPOPCNTQ,108.95880958796191,0.1924720000090474,128,8192,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,81.75298120821319,0.25652300001866024,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,146.06055118385575,0.14358100000322338,128,8192,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,101.9807237833977,0.20564199999739685,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PDX,238.77127665122208,0.08783100000187005,128,8192,10,10
JACCARD_B128_VPSHUFB_PDX,174.12276549321084,0.12044100000707658,128,8192,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,216.53385091455547,0.09685100002343461,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,259.93455628331674,0.08067999999639142,128,8192,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,208.2760127516836,0.10069100000009712,128,8192,10,10
JACCARD_U64X2_C,211.03649952462627,0.9937389999947754,128,8192,100,10
JACCARD_B128_VPSHUFB_SAD,71.01101589887644,2.9532769999889297,128,8192,100,10
JACCARD_B128_VPOPCNTQ,108.27430393400857,1.936888000017234,128,8192,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,83.69979773053467,2.5055639999891355,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,147.9448305232455,1.417523000014853,128,8192,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,105.4402628917482,1.9889480000188087,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PDX,238.31326888939017,0.8799980000162577,128,8192,100,10
JACCARD_B128_VPSHUFB_PDX,192.26855871147413,1.0907410000129403,128,8192,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,211.2214199484532,0.9928689999867402,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,252.5785351441122,0.8302970000215737,128,8192,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,216.66158714732833,0.9679389999917021,128,8192,100,10
JACCARD_U64X2_C,196.88815338405414,10.651488999997127,128,8192,1000,10
JACCARD_B128_VPSHUFB_SAD,69.37243207045879,30.230337000006102,128,8192,1000,10
JACCARD_B128_VPOPCNTQ,104.19579002008305,20.127032000004874,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,81.26214169708929,25.80724499998155,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,149.54658295126242,14.023403000010148,128,8192,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,101.60208627216521,20.64083599998412,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PDX,216.0190017022656,9.708182999986548,128,8192,1000,10
JACCARD_B128_VPSHUFB_PDX,180.33391774982502,11.62927099997546,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,196.76564002270584,10.658120999977427,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,232.10404945169338,9.035396000001583,128,8192,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,202.1423609458832,10.374629000011737,128,8192,1000,10
JACCARD_U64X2_C,173.7491301204708,0.02413999999362204,128,16384,1,10
JACCARD_B128_VPSHUFB_SAD,67.13034568345618,0.06248000002528897,128,16384,1,10
JACCARD_B128_VPOPCNTQ,100.46237123756528,0.04175000000827822,128,16384,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,79.64725316698436,0.05266100001222185,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,127.95314216783167,0.03277999999795611,128,16384,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,96.97812715755984,0.043250000004491085,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PDX,199.81439651541854,0.020991000013736993,128,16384,1,10
JACCARD_B128_VPSHUFB_PDX,167.56438012208193,0.02503100000694758,128,16384,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,186.16529076138082,0.022529999995413164,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,214.7621095421614,0.019530000002987435,128,16384,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,179.16719363746637,0.023409999982959562,128,16384,1,10
JACCARD_U64X2_C,220.2300854186143,0.19045100000880666,128,16384,10,10
JACCARD_B128_VPSHUFB_SAD,71.75822277242523,0.584504999977753,128,16384,10,10
JACCARD_B128_VPOPCNTQ,111.59723607981448,0.3758430000004864,128,16384,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,84.28999766830502,0.49760400000309346,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,148.49038634144253,0.2824630000191064,128,16384,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,105.66221778959556,0.39695399999573056,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PDX,249.2870218351327,0.16825200000880614,128,16384,10,10
JACCARD_B128_VPSHUFB_PDX,192.83978998058413,0.21750199999814868,128,16384,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,219.5832722365873,0.19101200001614416,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,271.5445322874026,0.15446099999394391,128,16384,10,10
