kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,117.83648784754396,4.449284000031639,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,135.3589184670385,3.8733170000000428,128,2048,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,123.02485215190075,4.261643000006643,128,2048,1000,10
JACCARD_U64X2_C,112.95658734493767,0.009282999997139996,128,4096,1,10
JACCARD_B128_VPSHUFB_SAD,50.02509417878578,0.02096100001836021,128,4096,1,10
JACCARD_B128_VPOPCNTQ,71.73183762726575,0.014617999966048956,128,4096,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,58.87568771267985,0.017810000031204254,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,85.14624447121383,0.012314999992213416,128,4096,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,70.68257498315408,0.014835000001767185,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PDX,123.21692064192231,0.008510000043315813,128,4096,1,10
JACCARD_B128_VPSHUFB_PDX,109.50041742580798,0.009576000024935638,128,4096,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,127.859529104361,0.008201000014196325,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,138.2433741985644,0.007585000048493384,128,4096,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,117.47434508439656,0.00892599996404897,128,4096,1,10
JACCARD_U64X2_C,183.6095886466712,0.057109000010768796,128,4096,10,10
JACCARD_B128_VPSHUFB_SAD,57.90838050518145,0.1810750000004191,128,4096,10,10
JACCARD_B128_VPOPCNTQ,84.00705011641077,0.12482000005320515,128,4096,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,68.69016656748067,0.1526530000433013,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,105.61698617113488,0.0992809999615929,128,4096,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,79.02449318749832,0.1326899999867237,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PDX,163.10348576551456,0.06428900002219962,128,4096,10,10
JACCARD_B128_VPSHUFB_PDX,158.34493590289316,0.0662209999973129,128,4096,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,167.87960299694916,0.0624599999810016,128,4096,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,196.09447745196135,0.053473000036774465,128,4096,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,179.6953027702372,0.058352999985800125,128,4096,10,10
JACCARD_U64X2_C,163.9565628656508,0.6395450000127312,128,4096,100,10
JACCARD_B128_VPSHUFB_SAD,55.07088056521114,1.9040480000285243,128,4096,100,10
JACCARD_B128_VPOPCNTQ,75.6553799080155,1.3859900000170455,128,4096,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,64.84980796896203,1.6169300000115072,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,107.77662202850223,0.9729160000233605,128,4096,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,79.07234538630203,1.3260970000033012,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PDX,158.6424758893883,0.6609679999769469,128,4096,100,10
JACCARD_B128_VPSHUFB_PDX,133.86953868701625,0.7832819999862295,128,4096,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,147.05277669111726,0.7130609999990156,128,4096,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,162.65894357650856,0.6446470000014415,128,4096,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,151.3282292917774,0.6929150000019035,128,4096,100,10
JACCARD_U64X2_C,151.44953492417545,6.923599999993257,128,4096,1000,10
JACCARD_B128_VPSHUFB_SAD,54.805303179893436,19.13274700001466,128,4096,1000,10
JACCARD_B128_VPOPCNTQ,77.63162307613423,13.507073000027958,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,65.17617050956932,16.088334000016857,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,112.04612054670083,9.358431999999084,128,4096,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,79.21081679189287,13.237788000026285,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PDX,157.94709268999907,6.6387799999461095,128,4096,1000,10
JACCARD_B128_VPSHUFB_PDX,139.1413642807389,7.5360479999631025,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,153.30697258556927,6.8397150000123474,128,4096,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,172.5239385331669,6.077857999969183,128,4096,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,155.86742967961544,6.727358000034656,128,4096,1000,10
JACCARD_U64X2_C,137.55424344535598,0.015246000032220763,128,8192,1,10
JACCARD_B128_VPSHUFB_SAD,52.61690544986582,0.03985699999020653,128,8192,1,10
JACCARD_B128_VPOPCNTQ,72.64121927337627,0.02886999999418549,128,8192,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,65.33794441028,0.03209699997341886,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,95.28178096866868,0.02201000000923159,128,8192,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,75.71219181383127,0.02769899998611436,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PDX,157.3729552782977,0.013325999987046089,128,8192,1,10
JACCARD_B128_VPSHUFB_PDX,133.39813027788165,0.015720999954282888,128,8192,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,141.31752016103383,0.0148400000057336,128,8192,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,163.32959487841106,0.012840000010783115,128,8192,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,138.39846901807317,0.015152999992551486,128,8192,1,10
JACCARD_U64X2_C,196.1348247992578,0.10692399996514723,128,8192,10,10
JACCARD_B128_VPSHUFB_SAD,59.48793591522985,0.35253400000101465,128,8192,10,10
JACCARD_B128_VPOPCNTQ,83.85388010935665,0.25009600000203136,128,8192,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,69.12692787658798,0.3033770000229197,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,111.06031879748727,0.18883000001324035,128,8192,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,87.9102600649679,0.23855599999933474,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PDX,202.3613872480279,0.10363399997004308,128,8192,10,10
JACCARD_B128_VPSHUFB_PDX,162.8501762312134,0.1287780000325256,128,8192,10,10
